선수명,팀,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,시즌,BABIP,ISO,wOBA,wRC+,OPS+,bWAR
김준태,LG,1.0,2,2,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1.0,1.0,2.0,2025,1.0,0.0,0.785,419.6,425.7,0.09
김현종,LG,0.4,10,6,5,3,2,1,0,0,3,0,0,0,1,0,0,1,1,0.6,0.5,1.1,2025,0.5,0.2,0.47,199.9,188.4,0.11
신민재,LG,0.313,135,538,463,87,145,15,7,1,177,61,6,4,62,0,3,57,7,0.382,0.395,0.777,2025,0.352,0.069,0.346,113.4,107.5,4.43
오스틴,LG,0.313,116,499,425,82,133,25,1,31,253,95,0,11,61,7,2,62,11,0.595,0.393,0.988,2025,0.297,0.282,0.409,157.3,156.4,6.82
문성주,LG,0.305,135,542,475,57,145,20,2,3,178,70,0,9,54,0,4,59,10,0.375,0.375,0.75,2025,0.336,0.07,0.332,103.6,100.1,3.8
김현수,LG,0.298,140,552,483,66,144,24,0,12,204,90,0,1,64,1,4,73,10,0.422,0.384,0.806,2025,0.331,0.124,0.355,119.7,113.6,4.97
홍창기,LG,0.287,51,215,174,32,50,4,0,1,57,16,2,4,29,0,6,40,4,0.328,0.399,0.727,2025,0.358,0.041,0.333,104.3,96.1,1.53
구본혁,LG,0.286,131,397,343,41,98,16,2,1,121,38,12,0,36,1,6,44,4,0.353,0.364,0.717,2025,0.326,0.067,0.321,95.9,91.8,2.41
최원영,LG,0.282,119,115,103,37,29,5,0,0,34,2,3,1,4,0,4,20,4,0.33,0.33,0.66,2025,0.345,0.048,0.295,77.8,76.7,0.44
박해민,LG,0.276,144,544,442,80,122,18,2,3,153,43,22,4,68,0,8,94,7,0.346,0.379,0.725,2025,0.341,0.07,0.329,101.5,94.5,3.67
문보경,LG,0.276,141,607,515,91,142,21,1,24,237,108,0,9,79,3,4,108,15,0.46,0.371,0.831,2025,0.301,0.184,0.358,121.7,118.7,5.62
박관우,LG,0.264,39,58,53,12,14,2,0,2,22,13,0,1,3,0,1,11,1,0.415,0.31,0.725,2025,0.293,0.151,0.313,90.4,90.6,0.31
오지환,LG,0.253,127,472,419,57,106,24,1,16,180,62,7,6,37,0,3,115,4,0.43,0.314,0.744,2025,0.306,0.177,0.32,95.2,95.3,2.82
박동원,LG,0.253,139,523,451,57,114,25,0,22,205,76,3,5,62,4,2,124,10,0.455,0.342,0.797,2025,0.297,0.202,0.342,110.6,109.2,4.12
천성호,LG,0.237,83,199,173,24,41,9,2,1,57,17,4,0,17,0,5,29,2,0.329,0.323,0.652,2025,0.28,0.092,0.294,77.1,74.4,0.74
이주헌,LG,0.219,76,156,128,22,28,3,0,4,43,9,2,0,18,0,8,30,2,0.336,0.351,0.687,2025,0.255,0.117,0.315,91.8,84.1,0.87
송찬의,LG,0.211,66,166,147,18,31,9,1,3,51,20,1,1,9,0,8,49,4,0.347,0.291,0.638,2025,0.292,0.136,0.283,69.4,69.3,0.46
이영빈,LG,0.208,44,75,72,12,15,1,1,3,27,9,1,1,1,0,0,35,1,0.375,0.216,0.591,2025,0.343,0.167,0.249,45.7,54.2,-0.01
김성우,LG,0.2,7,5,5,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0.2,0.2,0.4,2025,0.25,0.0,0.176,-5.2,8.9,-0.03
김주성,LG,0.2,16,17,15,3,3,0,0,1,6,1,0,0,1,0,1,2,0,0.4,0.294,0.694,2025,0.167,0.2,0.306,85.5,82.5,0.08
손용준,LG,0.2,9,16,15,3,3,0,0,0,3,1,0,0,0,0,1,5,2,0.2,0.25,0.45,2025,0.3,0.0,0.21,18.5,23.4,-0.06
함창건,LG,0.188,15,36,32,2,6,2,0,0,8,2,0,1,3,0,0,9,1,0.25,0.25,0.5,2025,0.25,0.062,0.225,29.0,35.0,-0.08
김정율,LG,0.182,13,13,11,0,2,0,0,0,2,1,0,1,1,0,0,6,0,0.182,0.231,0.413,2025,0.333,0.0,0.188,3.2,13.7,-0.07
문정빈,LG,0.167,21,33,30,5,5,0,0,2,11,4,0,0,1,0,2,11,0,0.367,0.242,0.609,2025,0.176,0.2,0.268,59.0,59.9,0.05
유영찬,LG,0.0,11,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.5,0.5,2025,0.0,0.0,0.345,112.7,49.1,0.02
최승민,LG,0.0,19,6,5,6,0,0,0,0,0,0,0,0,1,0,0,2,0,0.0,0.167,0.167,2025,0.0,0.0,0.115,-47.8,-47.0,-0.07
이호연,KT,0.343,32,75,70,8,24,7,0,1,34,8,1,0,3,0,1,14,2,0.486,0.378,0.864,2025,0.418,0.143,0.373,143.1,137.2,0.82
